Time,Signal
0.005,2.0049083960000003
0.01,1.795934591
0.015,1.515888381
0.02,1.22177724
0.025,0.967304207
0.03,0.7786453
0.035,0.663255113
0.04,0.6183865390000001
0.045,0.631104375
0.05,0.6789334229999999
0.055,0.739985262
0.06,0.798961253
0.065,0.846173776
0.07,0.877690433
0.075,0.89533405
0.08,0.905900904
0.085,0.912998005
0.09,0.918221566
0.095,0.9229634879999999
0.1,0.928180276
0.105,0.934392279
0.11,0.941678091
0.115,0.949863015
0.12,0.95916453
0.125,0.969717239
0.13,0.981617537
0.135,0.994934735
0.14,1.009711054
0.145,1.025961626
0.15,1.043674497
0.155,1.062810625
0.16,1.083303877
0.165,1.105166433
0.17,1.128452365
0.175,1.152739161
0.18,1.177591257
0.185,1.202589972
0.19,1.227333504
0.195,1.251436931
0.2,1.274532211
0.205,1.296268539
0.21,1.3163193149999999
0.215,1.3343813039999999
0.22,1.350168273
0.225,1.363410867
0.23,1.373856614
0.235,1.381269919
0.24,1.38543207
0.245,1.386141233
0.25,1.383211739
0.255,1.376339443
0.26,1.36571555
0.265,1.3518223169999999
0.27,1.335122084
0.275,1.316057282
0.28,1.295050424
0.285,1.272504111
0.29,1.248801029
0.295,1.224303952
0.3,1.199355738
0.305,1.174279296
0.31,1.149374206
0.315,1.124914005
0.32,1.101151675
0.325,1.078320284
0.33,1.056632986
0.335,1.036283022
0.34,1.017443718
0.345,1.000268486
0.35,0.984889058
0.355,0.971322026
0.36,0.959441289
0.365,0.949115431
0.37,0.940217828
0.375,0.932626639
0.38,0.926224812
0.385,0.920900082
0.39,0.916544971
0.395,0.913056788
0.4,0.910337629
0.405,0.908294377
0.41,0.906839131
0.415,0.905890502
0.42,0.90537303
0.425,0.9052162420000001
0.43,0.905354451
0.435,0.905726758
0.44,0.9062770529999999
0.445,0.906954009
0.45,0.907716347
0.455,0.908561363
0.46,0.909476423
0.465,0.910446611
0.47,0.911458808
0.475,0.91250169
0.48,0.913565731
0.485,0.914643196
0.49,0.91572815
0.495,0.91681645
0.5,0.917905753
0.505,0.918995506
0.51,0.920086987
0.515,0.9211834839999999
0.52,0.922290181
0.525,0.923414059
0.53,0.924563894
0.535,0.9257502559999999
0.54,0.926985514
0.545,0.92828383
0.55,0.92965611
0.555,0.931031532
0.56,0.932512237
0.565,0.93427338
0.57,0.936492955
0.575,0.939351796
0.58,0.943033576
0.585,0.94772481
0.59,0.953614852
0.595,0.960895896
0.6,0.9697629759999999
0.605,0.980413967
0.61,0.993049543
0.615,1.007872494
0.62,1.025087593
0.625,1.044946649
0.63,1.067768533
0.635,1.09261272
0.64,1.118355657
0.645,1.143959623
0.65,1.1684727289999999
0.655,1.191028915
0.66,1.210847952
0.665,1.227235441
0.67,1.239582817
0.675,1.247367341
0.68,1.250152107
0.685,1.247586042
0.69,1.239403877
0.695,1.225618455
0.7,1.207354697
0.705,1.1859624850000001
0.71,1.162645991
0.715,1.138464677
0.72,1.114333934
0.725,1.091023574
0.73,1.069157692
0.735,1.049214654
0.74,1.031527108
0.745,1.016281974
0.75,1.003520453
0.755,0.99313802
0.76,0.985569937
0.765,0.980732938
0.77,0.97539307
0.775,0.967354804
0.78,0.955677633
0.785,0.94067608
0.79,0.923919692
0.795,0.908233043
0.8,0.897695734
0.805,0.897642391
0.81,0.914662665
0.815,0.956600738
0.82,1.032554232
0.825,1.15287566
0.83,1.329173291
0.835,1.5740102550000001
0.84,1.853111947
0.845,2.0791593820000003
0.85,2.194012759
0.855,2.168962198
0.86,2.004763241
0.865,1.7407392430000002
0.87,1.44539555
0.875,1.173002801
0.88,0.958646244
0.885,0.8187009709999999
0.89,0.753627697
0.895,0.7480232339999999
0.9,0.78386247
0.905,0.842510961
0.91,0.904724921
0.915,0.954153985
0.92,0.988952565
0.925,1.011326849
0.93,1.024212565
0.935,1.031287017
0.94,1.036476364
0.945,1.041201958
0.95,1.0460473829999999
0.955,1.051476608
0.96,1.057804309
0.965,1.06519587
0.97,1.073674959
0.975,1.083316545
0.98,1.094262835
0.985,1.106615356
0.99,1.120442429
0.995,1.135779162
1.0,1.152627457
1.005,1.170956007
1.01,1.190700294
1.015,1.211762478
1.02,1.2340503
1.025,1.257613992
1.03,1.282052009
1.035,1.306895854
1.04,1.331699813
1.045,1.356041085
1.05,1.379519778
1.055,1.401758911
1.06,1.422404413
1.065,1.441125124
1.07,1.457612796
1.075,1.471582089
1.08,1.482770575
1.085,1.490938736
1.09,1.4958699659999999
1.095,1.497370568
1.1,1.495269756
1.105,1.489163028
1.11,1.478983872
1.115,1.465296095
1.12,1.448638345
1.125,1.429520666
1.13,1.408422742
1.135,1.38579374
1.14,1.3620523150000001
1.145,1.337586604
1.15,1.312754231
1.155,1.2878823019999999
1.16,1.26326741
1.165,1.239175634
1.17,1.215842536
1.175,1.193473162
1.18,1.172242045
1.185,1.152293203
1.19,1.133740138
1.195,1.116665835
1.2,1.101122768
1.205,1.087132893
1.21,1.074687651
1.215,1.063749472
1.22,1.054286483
1.225,1.046186667
1.23,1.039311751
1.235,1.033531398
1.24,1.028723833
1.245,1.024775218
1.25,1.021579445
1.255,1.019038134
1.26,1.017060638
1.265,1.015564039
1.27,1.014473146
1.275,1.013720501
1.28,1.013246376
1.285,1.012998769
1.29,1.012933413
1.295,1.013013767
1.3,1.013211022
1.305,1.013504096
1.31,1.013879641
1.315,1.014332036
1.32,1.0148608
1.325,1.015452333
1.33,1.016089211
1.335,1.01675686
1.34,1.017443376
1.345,1.018139526
1.35,1.018838746
1.355,1.019537142
1.36,1.020233492
1.365,1.020929243
1.37,1.021628511
1.375,1.022338086
1.38,1.023067425
1.385,1.023828657
1.39,1.024636579
1.395,1.025508662
1.4,1.026465043
1.405,1.02752266
1.41,1.028654043
1.415,1.030008667
1.42,1.031788307
1.425,1.034199649
1.43,1.03745309
1.435,1.041759922
1.44,1.047331942
1.445,1.054380461
1.45,1.063117292
1.455,1.073755085
1.46,1.086507325
1.465,1.101588329
1.47,1.119220108
1.475,1.139869677
1.48,1.1629452200000001
1.485,1.1874065329999999
1.49,1.212273696
1.495,1.236627072
1.5,1.259607311
1.505,1.280415345
1.51,1.298312393
1.515,1.312619955
1.52,1.32271972
1.525,1.32804969
1.53,1.328102887
1.535,1.322432254
1.54,1.310834742
1.545,1.294315535
1.55,1.274209924
1.555,1.251721022
1.56,1.227919626
1.565,1.203744214
1.57,1.180000944
1.575,1.157363658
1.58,1.136373877
1.585,1.117440807
1.59,1.100841333
1.595,1.086720023
1.6,1.0750890929999999
1.605,1.065666742
1.61,1.058052265
1.615,1.051508703
1.62,1.044690271
1.625,1.035645002
1.63,1.021818878
1.635,1.0000543
1.64,0.968403222
1.645,0.930292413
1.65,0.893908857
1.655,0.872071935
1.66,0.881828721
1.665,0.939620508
1.67,1.062053888
1.675,1.25283099
1.68,1.499900783
1.685,1.7765020470000001
1.69,2.028363425
1.695,2.183853448
1.7,2.202898943
1.705,2.080261668
1.71,1.845006176
1.715,1.5531180199999999
1.72,1.264415098
1.725,1.021371477
1.73,0.847499105
1.735,0.748425116
1.74,0.721247611
1.745,0.7433293759999999
1.75,0.792115359
1.755,0.850013239
1.76,0.90439342
1.765,0.94758904
1.77,0.976895961
1.775,0.994753587
1.78,1.006873077
1.785,1.015249763
1.79,1.02112527
1.795,1.02557998
1.8,1.029533029
1.805,1.0337423079999999
1.81,1.038804467
1.815,1.045154906
1.82,1.053067786
1.825,1.062656337
1.83,1.073876199
1.835,1.086524097
1.84,1.100248899
1.845,1.115193253
1.85,1.131576777
1.855,1.149383185
1.86,1.168554466
1.865,1.188991051
1.87,1.210551817
1.875,1.233054088
1.88,1.25627363
1.885,1.279944658
1.89,1.303759828
1.895,1.327370245
1.9,1.3503854579999999
1.905,1.3724881039999999
1.91,1.39336258
1.915,1.41250443
1.92,1.429471764
1.925,1.443888955
1.93,1.455445527
1.935,1.463895931
1.94,1.469060831
1.945,1.470827192
1.95,1.469148272
1.955,1.464043632
1.96,1.455599125
1.965,1.443966904
1.97,1.429365421
1.975,1.412079421
1.98,1.392406025
1.985,1.370552398
1.99,1.347002803
1.995,1.32223878
2.0,1.296703894
2.005,1.270803733
2.01,1.244905904
2.015,1.219340039
2.02,1.194397791
2.025,1.17033284
2.03,1.147361337
2.035,1.125662497
2.04,1.105377704
2.045,1.086610361
2.05,1.069425897
2.055,1.053851815
2.06,1.039933612
2.065,1.027695974
2.07,1.01700301
2.075,1.007720688
2.08,0.999721327
2.085,0.992883595
2.09,0.987092513
2.095,0.982239451
2.1,0.978222129
2.105,0.974944619
2.11,0.9723173430000001
2.115,0.970257073
2.12,0.968686933
2.125,0.967536396
2.13,0.966740618
2.135,0.966237988
2.14,0.96597234
2.145,0.965893859
2.15,0.965959081
2.155,0.96613089
2.16,0.966378523
2.165,0.966677567
2.17,0.967009958
2.175,0.967363986
2.18,0.967734289
2.185,0.968123315
2.19,0.968526167
2.195,0.968920494
2.2,0.969287003
2.205,0.969610355
2.21,0.969879167
2.215,0.970086011
2.22,0.970227412
2.225,0.970303852
2.23,0.970320407
2.235,0.970292512
2.24,0.970243246
2.245,0.970199684
2.25,0.97019286
2.255,0.970257762
2.26,0.970433293
2.265,0.970762163
2.27,0.97129005
2.275,0.972032329
2.28,0.973168231
2.285,0.974946223
2.29,0.977607006
2.295,0.981383515
2.3,0.986500919
2.305,0.993176624
2.31,1.00162027
2.315,1.01203373
2.32,1.024611115
2.325,1.039538767
2.33,1.056999354
2.335,1.077240393
2.34,1.099730235
2.345,1.123640384
2.35,1.148150139
2.355,1.172446597
2.36,1.195724653
2.365,1.217186998
2.37,1.236044121
2.375,1.251514309
2.38,1.262823645
2.385,1.26920601
2.39,1.269899277
2.395,1.264340872
2.4,1.253255971
2.405,1.23766577
2.41,1.218535892
2.415,1.196776394
2.42,1.173241766
2.425,1.148730925
2.43,1.123987256
2.435,1.099703393
2.44,1.076526363
2.445,1.055048853
2.45,1.035807982
2.455,1.019178862
2.46,1.004753536
2.465,0.992740805
2.47,0.983079638
2.475,0.975190902
2.48,0.967977285
2.485,0.959823296
2.49,0.948595262
2.495,0.93164133
2.5,0.905837172
2.505,0.87060094
2.51,0.831311993
2.515,0.797083903
2.52,0.780535442
2.525,0.797790576
2.53,0.865070831
2.535,0.995033855
2.54,1.193488261
2.545,1.446964297
2.55,1.722407231
2.555,1.9671710980000001
2.56,2.117143923
2.565,2.1347310999999998
2.57,2.0142368360000003
2.575,1.7792370069999999
2.58,1.482579163
2.585,1.194208719
2.59,0.950565413
2.595,0.77210366
2.6,0.6669026650000001
2.605,0.630408199
2.61,0.646451254
2.615,0.695609516
2.62,0.757028456
2.625,0.815192018
2.63,0.860909952
2.635,0.891318141
2.64,0.909745287
2.645,0.920916681
2.65,0.927485352
2.655,0.931678207
2.66,0.9351728
2.665,0.939097334
2.67,0.944030564
2.675,0.950001504
2.68,0.956668975
2.685,0.964307581
2.69,0.973087131
2.695,0.983110022
2.7,0.994455859
2.705,1.007181464
2.71,1.021320867
2.715,1.036885313
2.72,1.053863258
2.725,1.07222037
2.73,1.09203275
2.735,1.1134330000000001
2.74,1.13603131
2.745,1.159424443
2.75,1.183224281
2.755,1.207057856
2.76,1.230567354
2.765,1.253410113
2.77,1.275258619
2.775,1.295800514
2.78,1.314738589
2.785,1.331790787
2.79,1.346690203
2.795,1.359185084
2.8,1.3690388279999999
2.805,1.376029984
2.81,1.379952255
2.815,1.380614493
2.82,1.377840703
2.825,1.371424314
2.83,1.361141937
2.835,1.3474121399999999
2.84,1.33072309
2.845,1.311542528
2.85,1.2903141040000001
2.855,1.267456932
2.86,1.243365587
2.865,1.21841011
2.87,1.192936
2.875,1.167264292
2.88,1.1416917500000001
2.885,1.116490672
2.89,1.091908817
2.895,1.068169407
2.9,1.045471127
2.905,1.0239881259999999
2.91,1.003870013
2.915,0.985241863
2.92,0.968204213
2.925,0.952833061
2.93,0.939179869
2.935,0.9272695870000001
2.94,0.917016933
2.945,0.90827621
2.95,0.900905062
2.955,0.894767532
2.96,0.889734067
2.965,0.885681515
2.97,0.882493124
2.975,0.880058546
2.98,0.878273834
2.985,0.877041442
2.99,0.876270227
2.995,0.875875448
3.0,0.875778763
3.005,0.875908235
3.01,0.876198326
3.015,0.876589903
3.02,0.877030232
3.025,0.877472981
3.03,0.87787822
3.035,0.878212423
3.04,0.878450534
3.045,0.878589979
3.05,0.878650628
3.055,0.8786560489999999
3.06,0.878593369
3.065,0.878452153
3.07,0.878226414
3.075,0.877914606
3.08,0.877519643
3.085,0.877048942
3.09,0.876514376
3.095,0.875932263
3.1,0.875323367
3.105,0.874712895
3.11,0.874130498
3.115,0.873610274
3.12,0.873190763
3.125,0.872914951
3.13,0.872830268
3.135,0.872988588
3.14,0.873445732
3.145,0.87425257
3.15,0.875451721
3.155,0.877001049
3.16,0.879158741
3.165,0.88227314
3.17,0.886649455
3.175,0.892549758
3.18,0.900192986
3.185,0.909754942
3.19,0.921368293
3.195,0.935122571
3.2,0.951064172
3.205,0.96919636
3.21,0.989479259
3.215,1.01186475
3.22,1.036366074
3.225,1.061862081
3.23,1.087093263
3.235,1.110943502
3.24,1.132440104
3.245,1.150755924
3.25,1.165210832
3.255,1.175268437
3.26,1.180535741
3.265,1.180763137
3.27,1.175844411
3.275,1.165816742
3.28,1.150842577
3.285,1.131467759
3.29,1.108967193
3.295,1.084556239
3.3,1.059301299
3.305,1.034119815
3.31,1.009780269
3.315,0.986902189
3.32,0.965956139
3.325,0.9472637269999999
3.33,0.930997601
3.335,0.917181452
3.34,0.90569001
3.345,0.896249604
3.35,0.888567959
3.355,0.882963532
3.36,0.876368186
3.365,0.8657216560000001
3.37,0.849007704
3.375,0.825254118
3.38,0.794532717
3.385,0.757959343
3.39,0.717141333
3.395,0.6876680550000001
3.4,0.691847134
3.405,0.7452836030000001
3.41,0.856755042
3.415,1.028211579
3.42,1.254775893
3.425,1.524295343
3.43,1.79428382
3.435,1.995776182
3.44,2.080005815
3.445,2.022031516
3.45,1.826834238
3.455,1.5514941580000001
3.46,1.258176686
3.465,0.99471926
3.47,0.7945445529999999
3.475,0.67060781
3.48,0.6161845619999999
3.485,0.618907586
3.49,0.661944866
3.495,0.7240002329999999
3.5,0.782562851
3.505,0.829361419
3.51,0.862786077
3.515,0.883494368
3.52,0.894421609
3.525,0.900674848
3.53,0.905642632
3.535,0.910058285
3.54,0.91461119
3.545,0.919801857
3.55,0.925942679
3.555,0.9331577719999999
3.56,0.941406222
3.565,0.950777881
3.57,0.961426456
3.575,0.973460004
3.58,0.98694953
3.585,1.001928985
3.59,1.018395269
3.595,1.036308225
3.6,1.055590649
3.605,1.076128278
3.61,1.0977698
3.615,1.120326848
3.62,1.143623464
3.625,1.167524144
3.63,1.191547588
3.635,1.215206731
3.64,1.238047641
3.645,1.259649556
3.65,1.279626614
3.655,1.297628772
3.66,1.313339342
3.665,1.3264747749999999
3.67,1.336784655
3.675,1.344051701
3.68,1.348091767
3.685,1.348753843
3.69,1.3459200550000001
3.695,1.3393391239999999
3.7,1.328814649
3.705,1.314861711
3.71,1.2979999420000001
3.715,1.2787214900000001
3.72,1.2574910240000001
3.725,1.234745729
3.73,1.21089531
3.735,1.18632199
3.74,1.1613805130000001
3.745,1.136398136
3.75,1.11167279
3.755,1.087469444
3.76,1.064024583
3.765,1.041547205
3.77,1.020218832
3.775,1.0001935
3.78,0.981597767
3.785,0.964530708
3.79,0.949063916
3.795,0.935241504
3.8,0.92308081
3.805,0.912557519
3.81,0.903541656
3.815,0.895888036
3.82,0.889458658
3.825,0.884122702
3.83,0.8797565350000001
3.835,0.876243708
3.84,0.873474955
3.845,0.871348196
3.85,0.869769477
3.855,0.8686578
3.86,0.867941523
3.865,0.8675561940000001
3.87,0.867444545
3.875,0.867556491
3.88,0.867849134
3.885,0.868286756
3.89,0.868840826
3.895,0.869489997
3.9,0.870220026
3.905,0.871024483
3.91,0.8719234810000001
3.915,0.872906949
3.92,0.873952669
3.925,0.875042723
3.93,0.876163497
3.935,0.877305681
3.94,0.878464268
3.945,0.879638554
3.95,0.880831777
3.955,0.882046478
3.96,0.883285858
3.965,0.884557334
3.97,0.885872628
3.975,0.887247765
3.98,0.888703074
3.985,0.890263187
3.99,0.891957037
